[yolo] params: iou loss: mse (2), iou_norm: 0.75, cls_norm: 1.00, scale_x_y: 1.00
Total BFLOPS 81.259
Learning Rate: 0.001, Momentum: 0.9, Decay: 0.0005
 If error occurs - run training with flag: -dont_show
Resizing, random_coef = 1.40
608 x 608
Loaded: 0.000000 seconds
v3 (mse loss, Normalizer: (iou: 0.750000, cls: 1.000000) Region 82 Avg (IOU: 0.395850, GIOU: 0.320937), Class: 0.501434, Obj: 0.452493, No Obj: 0.479874, .5R: 0.222222, .75R: 0.000000, count: 9, loss = 264.519531, class_loss = 262.670929, iou_loss = 1.848602
v3 (mse loss, Normalizer: (iou: 0.750000, cls: 1.000000) Region 94 Avg (IOU: -nan(ind), GIOU: -nan(ind)), Class: -nan(ind), Obj: -nan(ind), No Obj: 0.507225, .5R: -nan(ind), .75R: -nan(ind), count: 0, loss = 1178.947998, class_loss = 1178.947998, iou_loss = 0.000000
v3 (mse loss, Normalizer: (iou: 0.750000, cls: 1.000000) Region 106 Avg (IOU: 0.307717, GIOU: 0.154439), Class: 0.745784, Obj: 0.452297, No Obj: 0.452690, .5R: 0.000000, .75R: 0.000000, count: 2, loss = 15189.897461, class_loss = 15189.155273, iou_loss = 0.742188
v3 (mse loss, Normalizer: (iou: 0.750000, cls: 1.000000) Region 82 Avg (IOU: 0.487955, GIOU: 0.446891), Class: 0.504501, Obj: 0.448253, No Obj: 0.479477, .5R: 0.500000, .75R: 0.000000, count: 8, loss = 262.058777, class_loss = 261.206482, iou_loss = 0.852295
v3 (mse loss, Normalizer: (iou: 0.750000, cls: 1.000000) Region 94 Avg (IOU: 0.466106, GIOU: 0.466107), Class: 0.522659, Obj: 0.553848, No Obj: 0.507307, .5R: 0.250000, .75R: 0.000000, count: 4, loss = 1179.235474, class_loss = 1178.589722, iou_loss = 0.645752
v3 (mse loss, Normalizer: (iou: 0.750000, cls: 1.000000) Region 106 Avg (IOU: -nan(ind), GIOU: -nan(ind)), Class: -nan(ind), Obj: -nan(ind), No Obj: 0.453066, .5R: -nan(ind), .75R: -nan(ind), count: 0, loss = 15171.953125, class_loss = 15171.953125, iou_loss = 0.000000
v3 (mse loss, Normalizer: (iou: 0.750000, cls: 1.000000) Region 82 Avg (IOU: 0.475159, GIOU: 0.358165), Class: 0.475052, Obj: 0.412334, No Obj: 0.479131, .5R: 0.500000, .75R: 0.125000, count: 8, loss = 264.671875, class_loss = 262.162506, iou_loss = 2.509369
v3 (mse loss, Normalizer: (iou: 0.750000, cls: 1.000000) Region 94 Avg (IOU: 0.491183, GIOU: 0.469878), Class: 0.363990, Obj: 0.414495, No Obj: 0.506666, .5R: 0.750000, .75R: 0.000000, count: 4, loss = 1176.634155, class_loss = 1175.783447, iou_loss = 0.850708
v3 (mse loss, Normalizer: (iou: 0.750000, cls: 1.000000) Region 106 Avg (IOU: -nan(ind), GIOU: -nan(ind)), Class: -nan(ind), Obj: -nan(ind), No Obj: 0.455008, .5R: -nan(ind), .75R: -nan(ind), count: 0, loss = 15301.647461, class_loss = 15301.647461, iou_loss = 0.000000
v3 (mse loss, Normalizer: (iou: 0.750000, cls: 1.000000) Region 82 Avg (IOU: 0.373444, GIOU: 0.239671), Class: 0.363925, Obj: 0.620495, No Obj: 0.480964, .5R: 0.222222, .75R: 0.000000, count: 9, loss = 270.263275, class_loss = 263.226471, iou_loss = 7.036804
v3 (mse loss, Normalizer: (iou: 0.750000, cls: 1.000000) Region 94 Avg (IOU: -nan(ind), GIOU: -nan(ind)), Class: -nan(ind), Obj: -nan(ind), No Obj: 0.507445, .5R: -nan(ind), .75R: -nan(ind), count: 0, loss = 1177.952881, class_loss = 1177.952881, iou_loss = 0.000000
v3 (mse loss, Normalizer: (iou: 0.750000, cls: 1.000000) Region 106 Avg (IOU: -nan(ind), GIOU: -nan(ind)), Class: -nan(ind), Obj: -nan(ind), No Obj: 0.451590, .5R: -nan(ind), .75R: -nan(ind), count: 0, loss = 15078.371094, class_loss = 15078.371094, iou_loss = 0.000000
v3 (mse loss, Normalizer: (iou: 0.750000, cls: 1.000000) Region 82 Avg (IOU: 0.443939, GIOU: 0.380735), Class: 0.503571, Obj: 0.435549, No Obj: 0.479913, .5R: 0.500000, .75R: 0.000000, count: 8, loss = 263.914001, class_loss = 262.618469, iou_loss = 1.295532
v3 (mse loss, Normalizer: (iou: 0.750000, cls: 1.000000) Region 94 Avg (IOU: -nan(ind), GIOU: -nan(ind)), Class: -nan(ind), Obj: -nan(ind), No Obj: 0.507087, .5R: -nan(ind), .75R: -nan(ind), count: 0, loss = 1179.858398, class_loss = 1179.858398, iou_loss = 0.000000
v3 (mse loss, Normalizer: (iou: 0.750000, cls: 1.000000) Region 106 Avg (IOU: -nan(ind), GIOU: -nan(ind)), Class: -nan(ind), Obj: -nan(ind), No Obj: 0.457258, .5R: -nan(ind), .75R: -nan(ind), count: 0, loss = 15468.216797, class_loss = 15468.216797, iou_loss = 0.000000
v3 (mse loss, Normalizer: (iou: 0.750000, cls: 1.000000) Region 82 Avg (IOU: 0.477433, GIOU: 0.399615), Class: 0.532830, Obj: 0.434746, No Obj: 0.480224, .5R: 0.500000, .75R: 0.000000, count: 8, loss = 262.838409, class_loss = 261.467682, iou_loss = 1.370728
v3 (mse loss, Normalizer: (iou: 0.750000, cls: 1.000000) Region 94 Avg (IOU: 0.189597, GIOU: 0.042627), Class: 0.678421, Obj: 0.344401, No Obj: 0.507831, .5R: 0.000000, .75R: 0.000000, count: 2, loss = 1178.799805, class_loss = 1177.482422, iou_loss = 1.317383
v3 (mse loss, Normalizer: (iou: 0.750000, cls: 1.000000) Region 106 Avg (IOU: -nan(ind), GIOU: -nan(ind)), Class: -nan(ind), Obj: -nan(ind), No Obj: 0.453725, .5R: -nan(ind), .75R: -nan(ind), count: 0, loss = 15201.407227, class_loss = 15201.407227, iou_loss = 0.000000
v3 (mse loss, Normalizer: (iou: 0.750000, cls: 1.000000) Region 82 Avg (IOU: 0.455870, GIOU: 0.403843), Class: 0.538436, Obj: 0.425258, No Obj: 0.480384, .5R: 0.250000, .75R: 0.000000, count: 8, loss = 264.095215, class_loss = 263.060699, iou_loss = 1.034515
v3 (mse loss, Normalizer: (iou: 0.750000, cls: 1.000000) Region 94 Avg (IOU: -nan(ind), GIOU: -nan(ind)), Class: -nan(ind), Obj: -nan(ind), No Obj: 0.507061, .5R: -nan(ind), .75R: -nan(ind), count: 0, loss = 1181.752930, class_loss = 1181.752930, iou_loss = 0.000000
v3 (mse loss, Normalizer: (iou: 0.750000, cls: 1.000000) Region 106 Avg (IOU: 0.726442, GIOU: 0.723929), Class: 0.485917, Obj: 0.641616, No Obj: 0.455796, .5R: 1.000000, .75R: 0.000000, count: 1, loss = 15360.008789, class_loss = 15359.958008, iou_loss = 0.050781
v3 (mse loss, Normalizer: (iou: 0.750000, cls: 1.000000) Region 82 Avg (IOU: 0.417954, GIOU: 0.333190), Class: 0.558525, Obj: 0.410480, No Obj: 0.480388, .5R: 0.200000, .75R: 0.100000, count: 10, loss = 262.976318, class_loss = 260.980927, iou_loss = 1.995392
v3 (mse loss, Normalizer: (iou: 0.750000, cls: 1.000000) Region 94 Avg (IOU: 0.126433, GIOU: -0.177399), Class: 0.502024, Obj: 0.742695, No Obj: 0.507952, .5R: 0.000000, .75R: 0.000000, count: 2, loss = 1180.194214, class_loss = 1178.012939, iou_loss = 2.181274
v3 (mse loss, Normalizer: (iou: 0.750000, cls: 1.000000) Region 106 Avg (IOU: -nan(ind), GIOU: -nan(ind)), Class: -nan(ind), Obj: -nan(ind), No Obj: 0.454696, .5R: -nan(ind), .75R: -nan(ind), count: 0, loss = 15268.258789, class_loss = 15268.258789, iou_loss = 0.000000

 1: 5566.186523, 5566.186523 avg loss, 0.000000 rate, 2112.105000 seconds, 64 images
Loaded: 0.016000 seconds
v3 (mse loss, Normalizer: (iou: 0.750000, cls: 1.000000) Region 82 Avg (IOU: -nan, GIOU: -nan), Class: nan, Obj: nan, No Obj: nan, .5R: 0.000000, .75R: 0.000000, count: 9, loss = nan, class_loss = nan, iou_loss = nan
v3 (mse loss, Normalizer: (iou: 0.750000, cls: 1.000000) Region 94 Avg (IOU: -nan, GIOU: -nan), Class: nan, Obj: nan, No Obj: nan, .5R: 0.000000, .75R: 0.000000, count: 2, loss = nan, class_loss = nan, iou_loss = nan
v3 (mse loss, Normalizer: (iou: 0.750000, cls: 1.000000) Region 106 Avg (IOU: -nan(ind), GIOU: -nan(ind)), Class: -nan(ind), Obj: -nan(ind), No Obj: nan, .5R: -nan(ind), .75R: -nan(ind), count: 0, loss = nan, class_loss = nan, iou_loss = nan
v3 (mse loss, Normalizer: (iou: 0.750000, cls: 1.000000) Region 82 Avg (IOU: -nan, GIOU: -nan), Class: nan, Obj: nan, No Obj: nan, .5R: 0.000000, .75R: 0.000000, count: 8, loss = nan, class_loss = nan, iou_loss = nan
v3 (mse loss, Normalizer: (iou: 0.750000, cls: 1.000000) Region 94 Avg (IOU: -nan, GIOU: -nan), Class: nan, Obj: nan, No Obj: nan, .5R: 0.000000, .75R: 0.000000, count: 6, loss = nan, class_loss = nan, iou_loss = nan
v3 (mse loss, Normalizer: (iou: 0.750000, cls: 1.000000) Region 106 Avg (IOU: -nan(ind), GIOU: -nan(ind)), Class: -nan(ind), Obj: -nan(ind), No Obj: nan, .5R: -nan(ind), .75R: -nan(ind), count: 0, loss = nan, class_loss = nan, iou_loss = nan
v3 (mse loss, Normalizer: (iou: 0.750000, cls: 1.000000) Region 82 Avg (IOU: -nan, GIOU: -nan), Class: nan, Obj: nan, No Obj: nan, .5R: 0.000000, .75R: 0.000000, count: 9, loss = nan, class_loss = nan, iou_loss = nan
v3 (mse loss, Normalizer: (iou: 0.750000, cls: 1.000000) Region 94 Avg (IOU: -nan, GIOU: -nan), Class: nan, Obj: nan, No Obj: nan, .5R: 0.000000, .75R: 0.000000, count: 5, loss = nan, class_loss = nan, iou_loss = nan
v3 (mse loss, Normalizer: (iou: 0.750000, cls: 1.000000) Region 106 Avg (IOU: -nan(ind), GIOU: -nan(ind)), Class: -nan(ind), Obj: -nan(ind), No Obj: nan, .5R: -nan(ind), .75R: -nan(ind), count: 0, loss = nan, class_loss = nan, iou_loss = nan
v3 (mse loss, Normalizer: (iou: 0.750000, cls: 1.000000) Region 82 Avg (IOU: -nan, GIOU: -nan), Class: nan, Obj: nan, No Obj: nan, .5R: 0.000000, .75R: 0.000000, count: 8, loss = nan, class_loss = nan, iou_loss = nan
v3 (mse loss, Normalizer: (iou: 0.750000, cls: 1.000000) Region 94 Avg (IOU: -nan, GIOU: -nan), Class: nan, Obj: nan, No Obj: nan, .5R: 0.000000, .75R: 0.000000, count: 2, loss = nan, class_loss = nan, iou_loss = nan
v3 (mse loss, Normalizer: (iou: 0.750000, cls: 1.000000) Region 106 Avg (IOU: -nan(ind), GIOU: -nan(ind)), Class: -nan(ind), Obj: -nan(ind), No Obj: nan, .5R: -nan(ind), .75R: -nan(ind), count: 0, loss = nan, class_loss = nan, iou_loss = nan
v3 (mse loss, Normalizer: (iou: 0.750000, cls: 1.000000) Region 82 Avg (IOU: -nan, GIOU: -nan), Class: nan, Obj: nan, No Obj: nan, .5R: 0.000000, .75R: 0.000000, count: 9, loss = nan, class_loss = nan, iou_loss = nan
v3 (mse loss, Normalizer: (iou: 0.750000, cls: 1.000000) Region 94 Avg (IOU: -nan, GIOU: -nan), Class: nan, Obj: nan, No Obj: nan, .5R: 0.000000, .75R: 0.000000, count: 4, loss = nan, class_loss = nan, iou_loss = nan
v3 (mse loss, Normalizer: (iou: 0.750000, cls: 1.000000) Region 106 Avg (IOU: -nan(ind), GIOU: -nan(ind)), Class: -nan(ind), Obj: -nan(ind), No Obj: nan, .5R: -nan(ind), .75R: -nan(ind), count: 0, loss = nan, class_loss = nan, iou_loss = nan
v3 (mse loss, Normalizer: (iou: 0.750000, cls: 1.000000) Region 82 Avg (IOU: -nan, GIOU: -nan), Class: nan, Obj: nan, No Obj: nan, .5R: 0.000000, .75R: 0.000000, count: 11, loss = nan, class_loss = nan, iou_loss = nan
v3 (mse loss, Normalizer: (iou: 0.750000, cls: 1.000000) Region 94 Avg (IOU: -nan(ind), GIOU: -nan(ind)), Class: -nan(ind), Obj: -nan(ind), No Obj: nan, .5R: -nan(ind), .75R: -nan(ind), count: 0, loss = nan, class_loss = nan, iou_loss = nan
v3 (mse loss, Normalizer: (iou: 0.750000, cls: 1.000000) Region 106 Avg (IOU: -nan(ind), GIOU: -nan(ind)), Class: -nan(ind), Obj: -nan(ind), No Obj: nan, .5R: -nan(ind), .75R: -nan(ind), count: 0, loss = nan, class_loss = nan, iou_loss = nan
v3 (mse loss, Normalizer: (iou: 0.750000, cls: 1.000000) Region 82 Avg (IOU: -nan, GIOU: -nan), Class: nan, Obj: nan, No Obj: nan, .5R: 0.000000, .75R: 0.000000, count: 9, loss = nan, class_loss = nan, iou_loss = nan
v3 (mse loss, Normalizer: (iou: 0.750000, cls: 1.000000) Region 94 Avg (IOU: -nan, GIOU: -nan), Class: nan, Obj: nan, No Obj: nan, .5R: 0.000000, .75R: 0.000000, count: 2, loss = nan, class_loss = nan, iou_loss = nan
v3 (mse loss, Normalizer: (iou: 0.750000, cls: 1.000000) Region 106 Avg (IOU: -nan(ind), GIOU: -nan(ind)), Class: -nan(ind), Obj: -nan(ind), No Obj: nan, .5R: -nan(ind), .75R: -nan(ind), count: 0, loss = nan, class_loss = nan, iou_loss = nan
v3 (mse loss, Normalizer: (iou: 0.750000, cls: 1.000000) Region 82 Avg (IOU: -nan, GIOU: -nan), Class: nan, Obj: nan, No Obj: nan, .5R: 0.000000, .75R: 0.000000, count: 10, loss = nan, class_loss = nan, iou_loss = nan
v3 (mse loss, Normalizer: (iou: 0.750000, cls: 1.000000) Region 94 Avg (IOU: -nan, GIOU: -nan), Class: nan, Obj: nan, No Obj: nan, .5R: 0.000000, .75R: 0.000000, count: 4, loss = nan, class_loss = nan, iou_loss = nan
v3 (mse loss, Normalizer: (iou: 0.750000, cls: 1.000000) Region 106 Avg (IOU: -nan(ind), GIOU: -nan(ind)), Class: -nan(ind), Obj: -nan(ind), No Obj: nan, .5R: -nan(ind), .75R: -nan(ind), count: 0, loss = nan, class_loss = nan, iou_loss = nan

 2: nan, nan avg loss, 0.000000 rate, 1540.617000 seconds, 128 images
Loaded: 0.000000 seconds
v3 (mse loss, Normalizer: (iou: 0.750000, cls: 1.000000) Region 82 Avg (IOU: -nan, GIOU: -nan), Class: nan, Obj: nan, No Obj: nan, .5R: 0.000000, .75R: 0.000000, count: 9, loss = nan, class_loss = nan, iou_loss = nan
v3 (mse loss, Normalizer: (iou: 0.750000, cls: 1.000000) Region 94 Avg (IOU: -nan, GIOU: -nan), Class: nan, Obj: nan, No Obj: nan, .5R: 0.000000, .75R: 0.000000, count: 2, loss = nan, class_loss = nan, iou_loss = nan
v3 (mse loss, Normalizer: (iou: 0.750000, cls: 1.000000) Region 106 Avg (IOU: -nan(ind), GIOU: -nan(ind)), Class: -nan(ind), Obj: -nan(ind), No Obj: nan, .5R: -nan(ind), .75R: -nan(ind), count: 0, loss = nan, class_loss = nan, iou_loss = nan
v3 (mse loss, Normalizer: (iou: 0.750000, cls: 1.000000) Region 82 Avg (IOU: -nan, GIOU: -nan), Class: nan, Obj: nan, No Obj: nan, .5R: 0.000000, .75R: 0.000000, count: 8, loss = nan, class_loss = nan, iou_loss = nan
v3 (mse loss, Normalizer: (iou: 0.750000, cls: 1.000000) Region 94 Avg (IOU: -nan(ind), GIOU: -nan(ind)), Class: -nan(ind), Obj: -nan(ind), No Obj: nan, .5R: -nan(ind), .75R: -nan(ind), count: 0, loss = nan, class_loss = nan, iou_loss = nan
v3 (mse loss, Normalizer: (iou: 0.750000, cls: 1.000000) Region 106 Avg (IOU: -nan(ind), GIOU: -nan(ind)), Class: -nan(ind), Obj: -nan(ind), No Obj: nan, .5R: -nan(ind), .75R: -nan(ind), count: 0, loss = nan, class_loss = nan, iou_loss = nan
v3 (mse loss, Normalizer: (iou: 0.750000, cls: 1.000000) Region 82 Avg (IOU: -nan, GIOU: -nan), Class: nan, Obj: nan, No Obj: nan, .5R: 0.000000, .75R: 0.000000, count: 9, loss = nan, class_loss = nan, iou_loss = nan
v3 (mse loss, Normalizer: (iou: 0.750000, cls: 1.000000) Region 94 Avg (IOU: -nan, GIOU: -nan), Class: nan, Obj: nan, No Obj: nan, .5R: 0.000000, .75R: 0.000000, count: 4, loss = nan, class_loss = nan, iou_loss = nan
v3 (mse loss, Normalizer: (iou: 0.750000, cls: 1.000000) Region 106 Avg (IOU: -nan(ind), GIOU: -nan(ind)), Class: -nan(ind), Obj: -nan(ind), No Obj: nan, .5R: -nan(ind), .75R: -nan(ind), count: 0, loss = nan, class_loss = nan, iou_loss = nan
v3 (mse loss, Normalizer: (iou: 0.750000, cls: 1.000000) Region 82 Avg (IOU: -nan, GIOU: -nan), Class: nan, Obj: nan, No Obj: nan, .5R: 0.000000, .75R: 0.000000, count: 11, loss = nan, class_loss = nan, iou_loss = nan
v3 (mse loss, Normalizer: (iou: 0.750000, cls: 1.000000) Region 94 Avg (IOU: -nan, GIOU: -nan), Class: nan, Obj: nan, No Obj: nan, .5R: 0.000000, .75R: 0.000000, count: 1, loss = nan, class_loss = nan, iou_loss = nan
v3 (mse loss, Normalizer: (iou: 0.750000, cls: 1.000000) Region 106 Avg (IOU: -nan(ind), GIOU: -nan(ind)), Class: -nan(ind), Obj: -nan(ind), No Obj: nan, .5R: -nan(ind), .75R: -nan(ind), count: 0, loss = nan, class_loss = nan, iou_loss = nan
v3 (mse loss, Normalizer: (iou: 0.750000, cls: 1.000000) Region 82 Avg (IOU: -nan, GIOU: -nan), Class: nan, Obj: nan, No Obj: nan, .5R: 0.000000, .75R: 0.000000, count: 9, loss = nan, class_loss = nan, iou_loss = nan
v3 (mse loss, Normalizer: (iou: 0.750000, cls: 1.000000) Region 94 Avg (IOU: -nan(ind), GIOU: -nan(ind)), Class: -nan(ind), Obj: -nan(ind), No Obj: nan, .5R: -nan(ind), .75R: -nan(ind), count: 0, loss = nan, class_loss = nan, iou_loss = nan
v3 (mse loss, Normalizer: (iou: 0.750000, cls: 1.000000) Region 106 Avg (IOU: -nan(ind), GIOU: -nan(ind)), Class: -nan(ind), Obj: -nan(ind), No Obj: nan, .5R: -nan(ind), .75R: -nan(ind), count: 0, loss = nan, class_loss = nan, iou_loss = nan
v3 (mse loss, Normalizer: (iou: 0.750000, cls: 1.000000) Region 82 Avg (IOU: -nan, GIOU: -nan), Class: nan, Obj: nan, No Obj: nan, .5R: 0.000000, .75R: 0.000000, count: 9, loss = nan, class_loss = nan, iou_loss = nan
v3 (mse loss, Normalizer: (iou: 0.750000, cls: 1.000000) Region 94 Avg (IOU: -nan(ind), GIOU: -nan(ind)), Class: -nan(ind), Obj: -nan(ind), No Obj: nan, .5R: -nan(ind), .75R: -nan(ind), count: 0, loss = nan, class_loss = nan, iou_loss = nan
v3 (mse loss, Normalizer: (iou: 0.750000, cls: 1.000000) Region 106 Avg (IOU: -nan(ind), GIOU: -nan(ind)), Class: -nan(ind), Obj: -nan(ind), No Obj: nan, .5R: -nan(ind), .75R: -nan(ind), count: 0, loss = nan, class_loss = nan, iou_loss = nan
v3 (mse loss, Normalizer: (iou: 0.750000, cls: 1.000000) Region 82 Avg (IOU: -nan, GIOU: -nan), Class: nan, Obj: nan, No Obj: nan, .5R: 0.000000, .75R: 0.000000, count: 10, loss = nan, class_loss = nan, iou_loss = nan
v3 (mse loss, Normalizer: (iou: 0.750000, cls: 1.000000) Region 94 Avg (IOU: nan, GIOU: nan), Class: -nan, Obj: -nan, No Obj: nan, .5R: 0.000000, .75R: 0.000000, count: 1, loss = nan, class_loss = nan, iou_loss = nan
v3 (mse loss, Normalizer: (iou: 0.750000, cls: 1.000000) Region 106 Avg (IOU: -nan, GIOU: -nan), Class: nan, Obj: nan, No Obj: nan, .5R: 0.000000, .75R: 0.000000, count: 1, loss = nan, class_loss = nan, iou_loss = nan
v3 (mse loss, Normalizer: (iou: 0.750000, cls: 1.000000) Region 82 Avg (IOU: -nan, GIOU: -nan), Class: nan, Obj: nan, No Obj: nan, .5R: 0.000000, .75R: 0.000000, count: 8, loss = nan, class_loss = nan, iou_loss = nan
v3 (mse loss, Normalizer: (iou: 0.750000, cls: 1.000000) Region 94 Avg (IOU: -nan(ind), GIOU: -nan(ind)), Class: -nan(ind), Obj: -nan(ind), No Obj: nan, .5R: -nan(ind), .75R: -nan(ind), count: 0, loss = nan, class_loss = nan, iou_loss = nan
v3 (mse loss, Normalizer: (iou: 0.750000, cls: 1.000000) Region 106 Avg (IOU: -nan(ind), GIOU: -nan(ind)), Class: -nan(ind), Obj: -nan(ind), No Obj: nan, .5R: -nan(ind), .75R: -nan(ind), count: 0, loss = nan, class_loss = nan, iou_loss = nan

 3: nan, nan avg loss, 0.000000 rate, 1445.561000 seconds, 192 images
Loaded: 0.002000 seconds
v3 (mse loss, Normalizer: (iou: 0.750000, cls: 1.000000) Region 82 Avg (IOU: -nan, GIOU: -nan), Class: nan, Obj: nan, No Obj: nan, .5R: 0.000000, .75R: 0.000000, count: 8, loss = nan, class_loss = nan, iou_loss = nan
v3 (mse loss, Normalizer: (iou: 0.750000, cls: 1.000000) Region 94 Avg (IOU: -nan, GIOU: -nan), Class: nan, Obj: nan, No Obj: nan, .5R: 0.000000, .75R: 0.000000, count: 2, loss = nan, class_loss = nan, iou_loss = nan
v3 (mse loss, Normalizer: (iou: 0.750000, cls: 1.000000) Region 106 Avg (IOU: -nan(ind), GIOU: -nan(ind)), Class: -nan(ind), Obj: -nan(ind), No Obj: nan, .5R: -nan(ind), .75R: -nan(ind), count: 0, loss = nan, class_loss = nan, iou_loss = nan
v3 (mse loss, Normalizer: (iou: 0.750000, cls: 1.000000) Region 82 Avg (IOU: -nan, GIOU: -nan), Class: nan, Obj: nan, No Obj: nan, .5R: 0.000000, .75R: 0.000000, count: 8, loss = nan, class_loss = nan, iou_loss = nan
v3 (mse loss, Normalizer: (iou: 0.750000, cls: 1.000000) Region 94 Avg (IOU: -nan(ind), GIOU: -nan(ind)), Class: -nan(ind), Obj: -nan(ind), No Obj: nan, .5R: -nan(ind), .75R: -nan(ind), count: 0, loss = nan, class_loss = nan, iou_loss = nan
v3 (mse loss, Normalizer: (iou: 0.750000, cls: 1.000000) Region 106 Avg (IOU: -nan(ind), GIOU: -nan(ind)), Class: -nan(ind), Obj: -nan(ind), No Obj: nan, .5R: -nan(ind), .75R: -nan(ind), count: 0, loss = nan, class_loss = nan, iou_loss = nan
v3 (mse loss, Normalizer: (iou: 0.750000, cls: 1.000000) Region 82 Avg (IOU: -nan, GIOU: -nan), Class: nan, Obj: nan, No Obj: nan, .5R: 0.000000, .75R: 0.000000, count: 8, loss = nan, class_loss = nan, iou_loss = nan
